Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,5,65,8450,0,0,0,0,5,2,0,3,7,5,2003,2003,1,15,15,1,196,1,2,2,1,2,3,0,706,5,0,150,856,1,0,0,0,856,854,0,1710,1,0,2,1,3,1,1,8,0,0,5,1,2003,1,2,548,2,2,0,0,61,0,0,0,0,2,2008,0,0,208500
2,20,5,80,9600,0,0,3,0,24,1,0,0,6,8,1976,1976,1,8,8,3,0,2,2,1,1,2,0,1,978,5,0,284,1262,1,0,0,0,1262,0,0,1262,0,1,2,0,3,1,2,6,0,1,2,1,1976,1,2,460,2,2,0,298,0,0,0,0,0,5,2007,0,0,181500
3,60,5,68,11250,1,0,0,0,5,2,0,3,7,5,2001,2002,1,15,15,1,162,1,2,2,1,2,2,0,486,5,0,434,920,1,0,0,0,920,866,0,1786,1,0,2,1,3,1,1,6,0,1,2,1,2001,1,2,608,2,2,0,0,42,0,0,0,0,9,2008,0,0,223500
4,70,5,60,9550,1,0,1,0,6,2,0,3,7,5,1915,1970,1,16,16,3,0,2,2,0,2,1,3,1,216,5,0,540,756,1,1,0,0,961,756,0,1717,1,0,1,0,3,1,1,7,0,1,1,5,1998,2,3,642,2,2,0,0,35,272,0,0,0,2,2006,0,1,140000
5,60,5,84,14260,1,0,3,0,13,2,0,3,8,5,2000,2000,1,15,15,1,350,1,2,2,1,2,1,0,655,5,0,490,1145,1,0,0,0,1145,1053,0,2198,1,0,2,1,4,1,1,9,0,1,2,1,2000,1,3,836,2,2,0,192,84,0,0,0,0,12,2008,0,0,250000
6,50,5,85,14115,1,0,0,0,11,2,0,1,5,5,1993,1995,1,15,15,3,0,2,2,5,1,2,3,0,732,5,0,64,796,1,0,0,0,796,566,0,1362,1,0,1,1,1,1,2,5,0,0,5,1,1993,2,2,480,2,2,0,40,30,0,320,0,700,10,2009,0,0,143000
7,20,5,75,10084,0,0,0,0,21,2,0,0,8,5,2004,2005,1,15,15,4,186,1,2,2,0,2,1,0,1369,5,0,317,1686,1,0,0,0,1694,0,0,1694,1,0,2,0,3,1,1,7,0,1,1,1,2004,1,2,636,2,2,0,255,57,0,0,0,0,8,2007,0,0,307000
8,60,5,70,10382,1,0,1,0,16,5,0,3,7,6,1973,1973,1,6,6,4,240,2,2,1,1,2,2,1,859,2,32,216,1107,1,0,0,0,1107,983,0,2090,1,0,2,1,3,1,2,7,0,2,2,1,1973,1,2,484,2,2,0,235,204,228,0,0,350,11,2009,0,0,200000
9,50,7,51,6120,0,0,0,0,17,0,0,1,7,5,1931,1950,1,3,16,3,0,2,2,0,2,2,3,5,0,5,0,952,952,1,1,0,2,1022,752,0,1774,0,0,2,0,2,2,2,8,1,2,2,5,1931,2,2,468,3,2,0,90,0,205,0,0,0,4,2008,0,1,129900
10,190,5,50,7420,0,0,1,0,3,0,1,2,5,6,1939,1950,1,8,8,3,0,2,2,0,2,2,3,0,851,5,0,140,991,1,0,0,0,1077,0,0,1077,1,0,1,0,2,2,2,5,0,2,2,1,1939,1,1,205,1,2,0,0,4,0,0,0,0,1,2008,0,0,118000
11,20,5,70,11200,0,0,0,0,19,2,0,0,5,5,1965,1965,3,6,6,3,0,2,2,1,2,2,3,3,906,5,0,134,1040,1,0,0,0,1040,0,0,1040,1,0,1,0,3,1,2,5,0,0,5,5,1965,2,1,384,2,2,0,0,0,0,0,0,0,2,2008,0,0,129500
12,60,5,85,11924,1,0,0,0,15,2,0,3,9,5,2005,2006,3,17,16,4,286,0,2,2,0,2,3,0,998,5,0,177,1175,1,0,0,0,1182,1142,0,2324,1,0,3,0,4,1,0,11,0,2,1,3,2005,0,3,736,2,2,0,147,21,0,0,0,0,7,2006,3,5,345000
13,20,5,70,12968,2,0,0,0,19,2,0,0,5,6,1962,1962,3,6,10,3,0,2,2,1,2,2,3,1,737,5,0,175,912,1,2,0,0,912,0,0,912,1,0,1,0,2,1,2,4,0,0,5,5,1962,2,1,352,2,2,0,140,0,0,0,176,0,9,2008,0,0,144000
14,20,5,91,10652,1,0,0,0,5,2,0,0,7,5,2006,2007,1,15,15,4,306,1,2,2,1,2,1,5,0,5,0,1494,1494,1,0,0,0,1494,0,0,1494,0,0,2,0,3,1,1,7,0,1,1,1,2006,1,3,840,2,2,0,160,33,0,0,0,0,8,2007,3,5,279500
15,20,5,70,10920,1,0,1,0,12,2,0,0,6,5,1960,1960,3,8,8,1,212,2,2,1,2,2,3,2,733,5,0,520,1253,1,2,0,0,1253,0,0,1253,1,0,1,1,2,1,2,5,0,1,3,1,1960,1,1,352,2,2,0,0,213,176,0,0,0,5,2008,0,0,157000
16,45,7,51,6120,0,0,1,0,3,2,0,2,7,8,1929,2001,1,16,16,3,0,2,2,0,2,2,3,5,0,5,0,832,832,1,0,0,1,854,0,0,854,0,0,1,0,2,1,2,5,0,0,5,5,1991,2,2,576,2,2,0,48,112,0,0,0,0,7,2007,0,0,132000
17,20,5,70,11241,1,0,2,0,12,2,0,0,6,7,1970,1970,1,16,16,1,180,2,2,1,2,2,3,1,578,5,0,426,1004,1,0,0,0,1004,0,0,1004,1,0,1,0,2,1,2,5,0,1,2,1,1970,0,2,480,2,2,0,0,0,0,0,0,700,3,2010,0,0,149000
18,90,5,72,10791,0,0,0,0,19,2,2,0,4,5,1967,1967,1,8,8,3,0,2,2,3,5,5,4,6,0,6,0,0,0,1,2,0,0,1296,0,0,1296,0,0,2,0,2,2,2,6,0,0,5,4,1967,2,2,516,2,2,0,0,0,0,0,0,500,10,2006,0,0,90000
19,20,5,66,13695,0,0,0,0,20,8,0,0,5,5,2004,2004,1,15,15,3,0,2,2,2,2,2,3,0,646,5,0,468,1114,1,0,0,0,1114,0,0,1114,1,0,1,1,3,1,1,6,0,0,5,5,2004,2,2,576,2,2,0,0,102,0,0,0,0,6,2008,0,0,159000
20,20,5,70,7560,0,0,0,0,12,2,0,0,5,6,1958,1965,3,3,10,3,0,2,2,1,2,2,3,4,504,5,0,525,1029,1,2,0,0,1339,0,0,1339,0,0,1,0,3,1,2,6,1,0,5,1,1958,2,1,294,2,2,0,0,0,0,0,0,0,5,2009,4,1,139000
21,60,5,101,14215,1,0,1,0,15,2,0,3,8,5,2005,2006,1,15,15,1,380,1,2,2,0,2,1,5,0,5,0,1158,1158,1,0,0,0,1158,1218,0,2376,0,0,3,1,4,1,1,9,0,1,1,3,2005,1,3,853,2,2,0,240,154,0,0,0,0,11,2006,3,5,325300
22,45,7,57,7449,0,1,0,0,9,2,0,2,7,7,1930,1950,1,16,16,3,0,2,2,2,2,2,3,5,0,5,0,637,637,1,0,0,2,1108,0,0,1108,0,0,1,0,3,1,1,6,0,1,1,1,1930,2,1,280,2,2,2,0,0,205,0,0,0,6,2007,0,0,139400
23,20,5,75,9742,0,0,0,0,5,2,0,0,8,5,2002,2002,3,15,15,1,281,1,2,2,1,2,3,5,0,5,0,1777,1777,1,0,0,0,1795,0,0,1795,0,0,2,0,3,1,1,7,0,1,1,1,2002,1,2,534,2,2,0,171,159,0,0,0,0,9,2008,0,0,230000
24,120,7,44,4224,0,0,0,0,10,2,3,0,5,7,1976,1976,1,5,5,3,0,2,2,2,1,2,3,0,840,5,0,200,1040,1,2,0,0,1060,0,0,1060,1,0,1,0,3,1,2,6,0,1,2,1,1976,2,2,572,2,2,0,100,110,0,0,0,0,6,2007,0,0,129900
25,20,5,70,8246,1,0,0,0,19,2,0,0,5,8,1968,2001,1,10,10,3,0,2,1,1,2,2,2,3,188,1,668,204,1060,1,0,0,0,1060,0,0,1060,1,0,1,0,3,1,1,6,0,1,2,1,1968,2,1,270,2,2,0,406,90,0,0,0,0,5,2010,0,0,154000
26,20,5,110,14230,0,0,1,0,15,2,0,0,8,5,2007,2007,1,15,15,4,640,1,2,2,1,2,3,5,0,5,0,1566,1566,1,0,0,0,1600,0,0,1600,0,0,2,0,3,1,1,7,0,1,1,1,2007,1,3,890,2,2,0,0,56,0,0,0,0,7,2009,0,0,256300
27,20,5,60,7200,0,0,1,0,12,2,0,0,5,7,1951,2000,1,16,16,3,0,2,2,1,2,2,2,2,234,3,486,180,900,1,2,0,0,900,0,0,900,0,1,1,0,3,1,1,5,0,0,5,5,2005,2,2,576,2,2,0,222,32,0,0,0,0,5,2010,0,0,134800
28,20,5,98,11478,0,0,0,0,15,2,0,0,8,5,2007,2008,1,15,15,4,200,1,2,2,0,2,3,0,1218,5,0,486,1704,1,0,0,0,1704,0,0,1704,1,0,2,0,3,1,1,7,0,1,1,1,2008,1,3,772,2,2,0,0,50,0,0,0,0,5,2010,0,0,306000
